Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY25 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Pending FY25 Inspection,Last Inspection Standard,Last Final Rating
ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,NC,27253,ATL,IGSA,Male,3,8,3,7,6,13,10,0,1,1,0,0,23,20,40,ODO,9/19/2024,,NDS 2019,Pass
FCI ATLANTA,"601 MCDONOUGH BOULEVARD, SE",ATLANTA,GA,30315,ATL,BOP,Female/Male,17,32,38,13,5,32,56,0,0,1,1,1,86,61,,,,,,
FOLKSTON ANNEX IPC,3424 HIGHWAY 252 EAST,FOLKSTON,GA,31537,ATL,DIGSA,Male,46,172,52,46,17,75,211,0,0,6,6,8,266,209,338,ODO,1/30/2025,,PBNDS 2011 - 2016 Revised,Pass
FOLKSTON D RAY ICE PROCESSING CTR,3262 HIGHWAY 252,FOLKSTON,GA,31537,ATL,DIGSA,,9,32,12,2,0,5,40,0,0,0,1,3,41,20,,,,,,
FOLKSTON MAIN IPC,3026 HWY 252 EAST,FOLKSTON,GA,31537,ATL,DIGSA,Male,43,321,197,104,50,197,475,0,1,14,16,23,620,485,544,ODO,,,PBNDS 2011 - 2016 Revised,Pass
FLOYD COUNTY JAIL,2526 NEW CALHOUN HWY,ROME,GA,30161,ATL,USMS IGA,Female/Male,3,1,2,0,0,1,2,0,0,0,0,0,3,1,,,,,,
LEXINGTON COUNTY JAIL,521 GIBSON ROAD,LEXINGTON,SC,29072,ATL,USMS IGA,Female/Male,2,1,2,1,0,2,2,0,1,0,0,0,5,4,,ODO,8/7/2025,,FPBDS,Pass
ROBERT A DEYTON DETENTION FACILITY,11866 HASTINGS BRIDGE ROAD P.O. BOX 429,LOVEJOY,GA,30250,ATL,USMS CDF,Female/Male,2,2,2,2,1,3,3,0,0,0,0,0,6,6,,ODO,,Scheduled,NDS 2019,Pass
STEWART DETENTION CENTER,146 CCA ROAD,LUMPKIN,GA,31815,ATL,DIGSA,Female/Male,52,791,380,440,310,748,933,52,188,175,111,99,"1,536","1,456","1,600",ODO,3/20/2025,,PBNDS 2011 - 2016 Revised,Pass
ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,NY,14813,BUF,IGSA,Female/Male,12,5,0,0,0,0,1,0,4,0,0,0,6,3,,,,,,
BERLIN FED. CORR. INST.,1 SUCCESS LOOP DR.,BERLIN,NH,3570,BOS,BOP,Male,48,78,11,23,23,32,102,0,0,7,2,6,119,84,,,,,,
BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,KY,41005,CHI,USMS IGA,Female/Male,39,46,29,42,52,115,49,4,1,31,13,10,115,130,,ODO,11/21/2024,,NDS 2019,Pass
BOURBON CO DET CENTER,"BOURBON CO COURTHOUSE, MAIN STREET",PARIS,KY,40361,CHI,IGSA,Female/Male,5,1,0,0,0,1,1,0,0,0,0,0,2,2,,,,,,
BROOKLYN MDC,100 29TH STREET,BROOKLYN,NY,11232,NYC,BOP,Female/Male,24,22,3,0,0,6,19,0,0,0,1,2,23,14,,,,,,
BROOME COUNTY JAIL,897 FRONT STREET,BINGHAMPTON,NY,13905,BUF,IGSA,Female/Male,8,9,0,0,0,1,9,0,0,0,0,1,9,5,,,,,,
BUFFALO SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,NY,14020,BUF,SPC,Male,45,332,52,122,131,248,390,0,0,80,16,18,524,449,400,ODO,10/31/2024,,PBNDS 2011 - 2016 Revised,Pass
BUTLER COUNTY JAIL,705 HANOVER STREET,HAMILTON,OH,45011,DET,USMS IGA,Female/Male,29,98,26,26,8,36,106,2,13,5,6,10,137,116,,ODO,,,NDS 2019,Pass
CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,DET,IGSA,Female/Male,41,84,31,30,14,47,93,4,15,10,5,12,132,134,75,ODO,8/22/2024,,NDS 2019,Pass
CAMPBELL CO DET CTR,601 CENTRAL AVE,NEWPORT,KY,41071,CHI,USMS IGA,Female/Male,35,29,10,9,4,19,27,1,5,3,3,4,42,34,,,,,,
CHASE COUNTY JAIL,301 SOUTH WALNUT STREET,COTTONWOOD FALL,KS,66845,CHI,IGSA,Female/Male,22,35,23,33,16,54,44,4,5,8,4,7,87,92,,ODO,3/13/2025,,NDS 2019,Pass
CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT STE MARIE,MI,49783,DET,IGSA,Male,46,16,5,7,5,11,22,0,0,3,1,1,27,28,,ODO,4/3/2025,,NDS 2019,Pass
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,7 FARRELL STREET,SOUTH BURLINGTON,VT,5403,BOS,USMS IGA,Female/Male,4,4,0,0,0,0,0,0,4,0,0,0,4,2,,ORSA,4/24/2025,,ORSA NDS 2019,Pass
CLARK COUNTY JAIL (IN),501 EAST COURT AVE.,JEFFERSONVILLE,IN,47130,CHI,USMS IGA,Female/Male,32,18,8,5,4,3,7,8,16,3,2,2,27,24,,,,,,
CLAY COUNTY JUSTICE CENTER,611 EAST JACKSON STREET,BRAZIL,IN,47834,CHI,USMS IGA,Female/Male,16,75,29,88,64,135,110,7,6,25,8,11,213,190,,ODO,6/27/2024,,NDS 2019,Pass
CLINTON COUNTY CORRECTIONAL FACILITY,58 PINE MOUNTAIN RD.,MCELHATTAN,PA,17748,PHI,USMS IGA,Female/Male,47,9,26,31,19,66,11,4,3,24,6,1,53,68,,ODO,1/16/2025,,NDS 2019,Pass
CLINTON COUNTY JAIL,25 MCCARTHY DRIVE,PLATTSBURGH,NY,12901,BUF,USMS IGA,Female/Male,10,3,1,2,0,0,1,1,3,0,0,1,4,4,,ODO,6/6/2024,Scheduled,NDS 2019,Pass
CLINTON COUNTY JAIL,301 E WALNUT STREET,FRANKFORT,IN,46041,CHI,USMS IGA,Female/Male,24,4,1,1,2,3,4,0,1,1,0,0,7,6,,,,,,
CORR. CTR OF NORTHWEST OHIO,"3151 ROAD 24.25, ROUTE 1",STRYKER,OH,43557,DET,USMS IGA,Male,33,27,4,5,2,7,17,1,12,3,1,1,34,29,,,,,,
CUMBERLAND COUNTY JAIL,50 COUNTY WAY,PORTLAND,ME,4102,BOS,USMS IGA,Female/Male,44,7,1,28,19,21,20,5,9,8,1,4,42,41,,ODO,9/12/2024,Scheduled,NDS 2019,Pass
DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NJ,7105,NEW,CDF,Female/Male,20,170,43,15,7,31,184,2,18,1,3,9,221,131,700,,8/28/2025,,PBNDS 2011 - 2016 Revised,
DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,WI,53039,CHI,USMS IGA,Female/Male,36,13,13,45,38,81,27,0,1,16,7,5,80,90,,ODO,4/3/2025,,NDS 2019,Pass
ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,NJ,7201,NEW,CDF,Female/Male,17,122,137,27,11,65,214,2,17,6,8,11,272,206,285,ODO,12/5/2024,,PBNDS 2011 - 2016 Revised,Pass
ERIE COUNTY JAIL,DEPARTMENT OF CORRECTIONS 1618 ASH STREET,ERIE,PA,16503,PHI,USMS IGA,Male,9,8,3,2,1,2,11,0,0,0,0,0,13,9,,ORSA,5/12/2025,,ORSA NDS 2019,Pass
FAYETTE COUNTY DETENTION CENTER,600 OLD FRANKFORD CR,LEXINGTON,KY,40510,CHI,USMS IGA,Female/Male,2,0,0,1,1,1,1,0,0,0,0,0,2,1,,ODO,9/12/2024,Scheduled,NDS 2019,Pass
FDC PHILADELPHIA,700 ARCH ST.,PHILADELPHIA,PA,19106,PHI,BOP,Female/Male,10,36,8,8,10,22,40,0,0,2,0,0,59,41,,,,,,
GEAUGA COUNTY JAIL,12450 MERRITT DR,CHARDON,OH,44024,DET,USMS IGA,Female/Male,46,25,9,5,2,12,20,1,8,2,2,1,37,34,,ODO,1/30/2025,,NDS 2019,Pass
GRAYSON COUNTY JAIL,320 SHAW STATION ROAD,LEITCHFIELD,KY,42754,CHI,USMS IGA,Female/Male,20,39,8,17,8,5,3,21,43,6,3,4,59,54,,ODO,8/21/2025,,NDS 2019,Pass
GREENE COUNTY JAIL,1199 N HASELTINE RD,SPRINGFIELD,MO,65802,CHI,USMS IGA,Female/Male,21,66,20,35,22,56,71,4,11,6,4,5,127,114,,,,,,
HOPKINS COUNTY JAIL,2250 LAFOON TRAIL,MADISONVILLE,KY,42431,CHI,USMS IGA,Female/Male,32,22,7,18,5,20,27,0,4,5,3,3,41,38,,,,,,
KAY CO JUSTICE FACILITY,1101 WEST DRY ROAD,NEWKIRK,OK,74647,CHI,IGSA,Female/Male,23,45,31,26,16,58,60,0,0,9,4,8,97,99,,ODO,3/6/2025,,NDS 2019,Pass
KENTON COUNTY JAIL,3000 DECKER CRANE LANE,COVINGTON,KY,41017,CHI,IGSA,Male,22,13,5,7,1,11,13,0,0,1,2,4,18,15,,,,,,
LAUREL COUNTY CORRECTIONAL CENTER,440 HAMMOCK ROAD,LONDON,KY,40744,CHI,USMS IGA,Female/Male,3,1,1,0,0,1,1,0,1,0,0,0,2,2,,,,,,
LEAVENWORTH US PENITENTIARY,1300 METROPOLITAN AVE.,LEAVENWORTH,KS,66048,CHI,BOP,Male,30,13,5,9,13,28,13,0,0,11,3,2,24,39,,,,,,
MAHONING COUNTY JAIL,110 FIFTH AVENUE,YOUNGSTOWN,OH,44503,DET,USMS IGA,Female/Male,18,33,4,3,3,6,27,1,9,2,2,1,39,29,,,,,,
MARION COUNTY JAIL,695 JUSTICE WAY,INDIANAPOLIS,IN,46203,CHI,USMS IGA,Female/Male,19,22,10,13,9,24,29,0,0,3,2,2,46,41,,ORSA,,,ORSA NDS 2019,Pass
MONROE COUNTY DETENTION-DORM,7000 EAST DUNBAR ROAD,MONROE,MI,48161,DET,IGSA,Male,39,80,21,4,3,16,91,0,0,2,2,5,98,85,,ODO,3/13/2025,,NDS 2019,Pass
BLUEBONNET DETENTION FACILITY,400 2ND STREET,ANSON,TX,79501,DAL,DIGSA,Male,27,447,176,244,106,349,550,13,60,65,46,69,792,700,750,ODO,12/12/2024,,PBNDS 2011 - 2016 Revised,Pass
DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,111 WEST COMMERCE STREET,DALLAS,TX,75202,DAL,USMS IGA,Female/Male,1,7,0,0,0,3,4,0,0,0,0,0,7,4,,ODO,7/18/2024,,NDS 2019,Pass
