Name,Address,City,State,Zip,AOR,Type Detailed,Male/Female,FY26 ALOS,Level A,Level B,Level C,Level D,Male Crim,Male Non-Crim,Female Crim,Female Non-Crim,ICE Threat Level 1,ICE Threat Level 2,ICE Threat Level 3,No ICE Threat Level,Mandatory,Guaranteed Minimum,Last Inspection Type,Last Inspection End Date,Last Inspection Standard,Last Final Rating
ADAMS COUNTY CORRECTIONAL CENTER,20 HOBO FORK RD.,NATCHEZ,MS,39120,NOL,DIGSA,Male,37,"1,748",287,97,59,190,"2,001",0,0,64,64,116,"1,948","1,376","1,436",ODO,1/16/2025,PBNDS 2011 - 2016 Revisions,Pass
ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,CA,92301,LOS,CDF,Male,47,677,190,437,498,702,842,33,226,533,184,144,940,815,640,ODO,9/18/2025,PBNDS 2011 - 2016 Revisions,Pass
ALEXANDRIA STAGING FACILI,96 GEORGE THOMPSON DR.,ALEXANDRIA,LA,71303,NOL,STAGING,Male,3,248,63,58,42,90,319,0,1,48,26,38,299,284,,ODO,2/27/2025,PBNDS 2011 - 2016 Revisions,Pass
ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,NY,14813,BUF,USMS IGA,Female/Male,7,6,0,0,0,0,0,0,5,0,0,0,5,2,,,Scheduled FY26,,
ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,LA,70655,NOL,IGSA,Male,72,83,11,44,11,50,99,0,0,39,16,3,90,105,170,ODO,12/12/2024,PBNDS 2011 - 2016 Revisions,Pass
ANCHORAGE CORRECTIONAL COMPLEX,1400 E. 4TH AVE,ANCHORAGE,AK,99501,SEA,USMS IGA,Male,5,2,0,0,0,0,2,0,0,0,0,0,2,1,,ORSA,3/29/2024,ORSA NDS 2019,Pass
BAKER CORRECTIONAL INSTITUTION,20706 US 90 W,SANDERSON,FL,32087,MIA,STATE,Male,18,459,160,138,114,223,649,0,0,141,55,75,600,433,,,,,
BAKER COUNTY SHERIFF DEPT.,1 SHERIFF OFFICE DRIVE,MACCLENNY,FL,32063,MIA,IGSA,Female/Male,45,70,36,112,67,76,105,27,78,61,24,31,170,157,250,ODO,10/24/2024,NDS 2019,Pass
BALDWIN COUNTY CORRECTIONAL CENTER,200 HAND AVE.,BAY MINETTE,AL,36507,NOL,USMS IGA,Female/Male,3,14,2,1,1,2,15,0,1,1,1,1,16,9,,ODO,9/26/2024,NDS 2019,Fail
BERLIN FED. CORR. INST.,1 SUCCESS LOOP DR.,BERLIN,NH,3570,BOS,BOP,Male,58,102,17,54,25,34,164,0,0,19,8,13,158,81,,,,,
BLUEBONNET DETENTION FACILITY,400 2ND STREET,ANSON,TX,79501,DAL,DIGSA,Female/Male,21,587,134,202,103,239,656,9,122,126,80,110,710,546,750,ODO,12/12/2024,PBNDS 2011 - 2016 Revisions,Pass
BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,KY,41005,CHI,USMS IGA,Female/Male,54,84,31,49,37,89,107,1,5,40,35,30,97,119,,ODO,11/21/2024,NDS 2019,Pass
BROOKLYN MDC,100 29TH STREET,BROOKLYN,NY,11232,NYC,BOP,Female/Male,52,94,19,0,0,24,89,0,0,3,12,13,86,42,,,,,
BROOME COUNTY JAIL,897 FRONT STREET,BINGHAMTON,NY,13905,BUF,USMS IGA,Female/Male,51,42,2,1,1,3,44,0,0,1,0,4,41,17,,,Scheduled FY26,,
BROWARD COUNTY JAIL,555 SE 1ST AVENUE,FT.LAUDERDALE,FL,33301,MIA,IGSA,Female/Male,1,1,0,1,1,0,2,0,1,0,0,0,2,1,,,,,
BROWARD TRANSITIONAL CENTER,3900 NORTH POWERLINE ROAD,POMPANO BEACH,FL,33073,MIA,CDF,Female/Male,21,489,177,10,5,63,517,7,93,14,23,56,588,327,700,ODO,12/19/2024,PBNDS 2011 - 2016 Revisions,Pass
BUFFALO SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,NY,14020,BUF,SPC,Male,37,589,49,45,62,124,621,0,0,90,23,37,595,247,650,ODO,10/31/2024,PBNDS 2011 - 2016 Revisions,Pass
BURLEIGH COUNTY,P.O. BOX 1416,BISMARCK,ND,58502,SPM,USMS IGA,Female/Male,26,5,7,5,1,2,13,0,1,1,1,1,14,7,,PRE-OCC,2/26/2025,,
BUTLER COUNTY JAIL,705 HANOVER STREET,HAMILTON,OH,45011,DET,USMS IGA,Female/Male,31,150,159,40,13,60,276,4,22,24,17,39,283,202,,ORSA,2/21/2025,ORSA NDS 2019,Fail
CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,DET,IGSA,Female/Male,51,147,12,8,9,18,139,0,19,9,3,9,154,83,75,ODO,8/22/2024,NDS 2019,Pass
CALIFORNIA CITY IMMIGRATION PROCESSING CENTER,22844 VIRGINIA BOULEVARD,CALIFORNIA CITY,CA,93505,SFR,CDF,Female/Male,48,661,96,153,178,267,631,28,162,208,52,74,755,347,"2,560",PRE-OCC,4/18/2025,NDS 2019,Pass
CAMBRIA COUNTY PRISON,425 MANOR DRIVE,EBENSBURG,PA,15931,PHI,USMS IGA,Male,6,22,3,4,4,5,17,2,11,5,2,2,25,19,,,Scheduled FY26,,
CAMPBELL CO DET CTR,601 CENTRAL AVE,NEWPORT,KY,41071,CHI,USMS IGA,Female/Male,63,98,25,10,7,26,88,4,23,8,10,16,106,64,,,Scheduled FY26,,
CAROLINE DETENTION FACILITY,11093 S.W. LEWIS MEMORIAL DRIVE,BOWLING GREEN,VA,22427,WAS,DIGSA,Female/Male,51,118,109,60,58,107,225,5,10,72,30,28,216,160,224,ODO,4/17/2025,PBNDS 2011 - 2016 Revisions,Pass
"CASCADE COUNTY JAIL, MT",3800 ULM NORTH FRONTAGE ROAD,GREAT FALLS,MT,59404,SLC,USMS IGA,Male,6,1,2,1,0,1,3,0,0,1,0,1,2,2,,ODO,10/26/2023,NDS 2019,Fail
CASS COUNTY JAIL,336 MAIN STREET,PLATTSMOUTH,NE,68048,SPM,USMS IGA,Female/Male,23,7,1,4,3,6,8,1,1,2,3,2,8,10,,,,,
"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,AZ,85232,PHO,USMS CDF,Male,39,182,61,155,129,225,302,0,1,121,56,76,274,297,,ODO,12/12/2024,NDS 2019,Pass
CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),830 PINEHILL ROAD,JENA,LA,71342,NOL,IGSA,Male,25,672,179,202,135,244,943,0,0,133,68,106,881,803,"1,170",ODO,1/9/2025,PBNDS 2011 - 2016 Revisions,Pass
CHASE COUNTY JAIL,301 SOUTH WALNUT STREET,COTTONWOOD FALL,KS,66845,CHI,IGSA,Female/Male,23,48,21,25,19,35,65,2,10,17,7,20,68,72,,ODO,3/13/2025,NDS 2019,Pass
CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT STE MARIE,MI,49783,DET,IGSA,Male,50,26,3,7,2,7,31,0,0,2,3,3,30,22,,ODO,4/25/2024,NDS 2019,Pass
CHITTENDEN REGIONAL CORRECTIONAL FACILITY,7 FARRELL STREET,SOUTH BURLINGTON,VT,5403,BOS,USMS IGA,Female/Male,10,5,0,0,0,0,0,0,5,0,0,0,5,1,,ORSA,4/12/2024,ORSA NDS 2019,Pass
CHRISTIAN COUNTY JAIL,"410 WEST 7TH STREET,",HOPKINSVILLE,KY,42240,CHI,USMS IGA,Female/Male,32,61,10,22,12,20,84,1,0,13,8,8,75,45,,,,,
CIBOLA COUNTY CORRECTIONAL CENTER,2000 CIBOLA LOOP,MILAN,NM,87021,ELP,IGSA,Male,61,152,44,28,8,27,204,0,0,9,8,17,198,74,,ODO,2/27/2025,PBNDS 2011 - 2016 Revisions,Pass
CIMMARRON CORR FACILITY,3700 S. KINGS HWY,CUSHING,OK,74023,DAL,USMS IGA,Male,41,404,57,77,51,141,448,0,0,67,40,50,433,296,,PRE-OCC,1/30/2025,,
CLARK COUNTY JAIL (IN),501 EAST COURT AVE.,JEFFERSONVILLE,IN,47130,CHI,USMS IGA,Female/Male,48,59,18,11,6,5,22,8,59,10,3,7,75,39,,,Scheduled FY26,,
CLAY COUNTY JUSTICE CENTER,611 EAST JACKSON STREET,BRAZIL,IN,47834,CHI,USMS IGA,Female/Male,12,136,25,47,33,60,180,0,1,31,18,30,163,112,,ODO,6/27/2024,NDS 2019,Pass
CLINTON COUNTY CORRECTIONAL FACILITY,58 PINE MOUNTAIN RD.,MCELHATTAN,PA,17748,PHI,USMS IGA,Female/Male,52,24,24,23,22,42,37,3,11,39,6,4,45,44,,ODO,1/16/2025,NDS 2019,Pass
CLINTON COUNTY JAIL,25 MCCARTHY DRIVE,PLATTSBURGH,NY,12901,BUF,USMS IGA,Female/Male,3,4,0,0,0,0,2,0,2,0,0,0,4,1,,ODO,6/6/2024,NDS 2019,Pass
CLINTON COUNTY JAIL,301 E WALNUT STREET,FRANKFORT,IN,46041,CHI,USMS IGA,Female/Male,5,12,5,4,6,8,11,3,5,6,4,2,14,18,,,Scheduled FY27,,
COASTAL BEND DETENTION FACILITY,4909 FM 2826,ROBSTOWN,TX,78380,HLG,USMS IGA,Female/Male,6,38,8,7,3,7,37,2,9,4,2,5,44,39,,ODO OASIP,2/6/2025,NDS 2019,Pass
COLLIER COUNTY NAPLES JAIL CENTER,3347 TAMIAMI TRAIL E,NAPLES,FL,34112,MIA,IGSA,Female/Male,5,25,6,7,4,9,26,1,6,4,6,10,23,15,,ODO,12/5/2024,NDS 2019,Pass
CORR. CTR OF NORTHWEST OHIO,3151 COUNTY ROAD 2425,STRYKER,OH,43557,DET,USMS IGA,Male,39,63,6,3,2,4,37,2,31,2,0,6,65,35,,,Scheduled FY26,,
CROW WING COUNTY JAIL,313 LAUREL ST,BRAINERD,MN,56401,SPM,USMS IGA,Female/Male,11,11,7,5,1,6,13,1,3,6,2,0,15,10,,,Scheduled FY26,,
DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,NE,68731,SPM,USMS IGA,Female/Male,22,10,6,9,3,10,14,2,3,5,4,7,11,18,,ORSA,12/7/2024,ORSA NDS 2019,Pass
DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,111 WEST COMMERCE STREET,DALLAS,TX,75202,DAL,USMS IGA,Female/Male,1,1,0,0,0,0,1,0,0,0,0,0,1,0,,ODO,7/18/2024,NDS 2019,Pass
DAVIESS COUNTY DETENTION,3337 HIGHWAY 144,OWENSBORO,KY,42303,CHI,USMS IGA,Female/Male,24,11,4,6,6,7,19,0,1,3,5,6,13,12,,,,,
DAVIS COUNTY,800 WEST STATE STREET,FARMINGTON,UT,84025,SLC,IGSA,Female/Male,3,2,2,0,0,1,3,0,0,1,1,1,2,3,,,,,
DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NJ,7105,NEW,CDF,Female/Male,19,800,105,2,1,66,785,2,55,6,26,67,809,364,700,ODO,8/28/2025,NDS 2019,Pass
DENVER CONTRACT DETENTION FACILITY,3130 OAKLAND ST,AURORA,CO,80010,DEN,CDF,Female/Male,47,556,270,274,149,293,848,26,83,153,84,119,894,550,600,ODO,2/13/2025,PBNDS 2011 - 2016 Revisions,Pass
DEPARTMENT OF CORRECTIONS HAGATNA,203 ASPINAL AVE. PO BOX 3236,HAGATNA,GU,96910,SFR,USMS IGA,Male,36,1,10,5,0,4,11,0,1,4,0,0,12,4,,ORSA,3/14/2024,ORSA NDS 2019,Pass
DESERT VIEW ANNEX,10450 RANCHO ROAD,ADELANTO,CA,92301,LOS,CDF,Male,54,329,49,31,7,43,373,0,0,10,20,38,348,166,480,ODO,2/27/2025,PBNDS 2011 - 2016 Revisions,Pass
DIAMONDBACK CORR FACILITY,"ROUTE 2, BOX 336",WATONGA,OK,73772,DAL,DIGSA,Female/Male,9,91,7,16,11,19,81,1,25,13,5,10,98,29,"1,200",,Scheduled FY26,,
DILLEY IMMIGRATION PROCESSING CENTER,300 EL RANCHO WAY,DILLEY,TX,78017,SNA,FAMILY,Female/Male,28,684,19,2,1,2,253,5,446,1,3,8,695,341,"2,000",ODO,11/16/2023,FRS,Pass
DILLEY PROCESSING SINGLE ADULT FEMALE,300 EL RANCHO WAY,DILLEY,TX,78017,SNA,DIGSA,Female,57,162,32,1,0,0,0,4,191,1,3,5,184,42,400,,,,
DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,WI,53039,CHI,USMS IGA,Female/Male,25,38,7,38,19,47,54,0,0,23,12,16,50,60,,ODO,4/3/2025,NDS 2019,Pass
DONA ANA COUNTY DETENTION CENTER,1850 COPPER LOOP,LAS CRUCES,NM,88004,ELP,USMS IGA,Female/Male,1,0,0,1,0,0,0,1,0,0,0,0,1,0,,,,,
DOUGLAS COUNTY,1409 HAMMOND AVENUE,SUPERIOR,WI,54880,SPM,USMS IGA,Female/Male,36,13,11,3,0,4,19,0,4,0,1,4,22,13,,,Scheduled FY26,,
EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,TX,78562,HLG,USMS IGA,Female/Male,3,0,1,1,1,3,0,0,0,2,1,0,0,3,,ORSA,8/22/2024,ORSA NDS 2019,Pass
EDEN DETENTION CTR,702 E BROADWAY ST,EDEN,TX,76837,DAL,USMS IGA,Male,32,412,66,6,2,50,435,0,0,11,17,35,422,276,,ODO,2/27/2025,NDS 2019,Pass
EL PASO COUNTY DETENTION FACILITY,601 E. OVERLAND,EL PASO,TX,79901,ELP,IGSA,Female/Male,0,2,0,0,0,0,2,0,0,0,0,0,2,0,,,,,
EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,TX,79925,ELP,SPC,Female/Male,48,418,142,153,93,188,396,47,174,109,59,93,544,337,450,ODO,2/13/2025,PBNDS 2011 - 2016 Revisions,Pass
EL VALLE DETENTION FACILITY,1800 INDUSTRIAL DRIVE,RAYMONDVILLE,TX,78580,HLG,DIGSA,Female/Male,42,716,86,79,60,141,420,27,354,95,48,60,739,572,600,ODO,3/6/2025,PBNDS 2011 - 2016 Revisions,Pass
ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,NJ,7201,NEW,CDF,Female/Male,12,188,38,48,36,51,224,3,31,32,15,23,240,157,285,ODO,12/5/2024,PBNDS 2011 - 2016 Revisions,Pass
